Id Branch,Agency Name,Date Txs,Corridor,Transaction Id
A07667,LAS TRES FRONTERAS SUPER MERCADO,4/27/2024 0:00,COLOMBIA,1
A07667,LAS TRES FRONTERAS SUPER MERCADO,5/1/2024 0:00,COLOMBIA,1
A07667,LAS TRES FRONTERAS SUPER MERCADO,5/4/2024 0:00,COLOMBIA,1
A07667,LAS TRES FRONTERAS SUPER MERCADO,5/5/2024 0:00,COLOMBIA,1
A07667,LAS TRES FRONTERAS SUPER MERCADO,5/6/2024 0:00,COLOMBIA,2
A07667,LAS TRES FRONTERAS SUPER MERCADO,5/9/2024 0:00,COLOMBIA,1
A07667,LAS TRES FRONTERAS SUPER MERCADO,5/11/2024 0:00,COLOMBIA,2
A07667,LAS TRES FRONTERAS SUPER MERCADO,5/12/2024 0:00,COLOMBIA,3
A07667,LAS TRES FRONTERAS SUPER MERCADO,5/18/2024 0:00,COLOMBIA,2
A07667,LAS TRES FRONTERAS SUPER MERCADO,5/23/2024 0:00,COLOMBIA,1
A07667,LAS TRES FRONTERAS SUPER MERCADO,5/26/2024 0:00,COLOMBIA,1
A07667,LAS TRES FRONTERAS SUPER MERCADO,5/31/2024 0:00,COLOMBIA,1
A07667,LAS TRES FRONTERAS SUPER MERCADO,6/1/2024 0:00,COLOMBIA,3
A07667,LAS TRES FRONTERAS SUPER MERCADO,6/3/2024 0:00,COLOMBIA,3
A07667,LAS TRES FRONTERAS SUPER MERCADO,6/4/2024 0:00,COLOMBIA,1
A07667,LAS TRES FRONTERAS SUPER MERCADO,6/7/2024 0:00,COLOMBIA,2
A07667,LAS TRES FRONTERAS SUPER MERCADO,6/8/2024 0:00,COLOMBIA,1
A07667,LAS TRES FRONTERAS SUPER MERCADO,6/13/2024 0:00,COLOMBIA,1
A07667,LAS TRES FRONTERAS SUPER MERCADO,6/14/2024 0:00,COLOMBIA,1
A07667,LAS TRES FRONTERAS SUPER MERCADO,6/20/2024 0:00,COLOMBIA,2
A07667,LAS TRES FRONTERAS SUPER MERCADO,6/21/2024 0:00,COLOMBIA,1
A07667,LAS TRES FRONTERAS SUPER MERCADO,6/24/2024 0:00,COLOMBIA,2
A07667,LAS TRES FRONTERAS SUPER MERCADO,6/27/2024 0:00,COLOMBIA,1
A07667,LAS TRES FRONTERAS SUPER MERCADO,6/29/2024 0:00,COLOMBIA,1
A07667,LAS TRES FRONTERAS SUPER MERCADO,7/1/2024 0:00,COLOMBIA,2
A07667,LAS TRES FRONTERAS SUPER MERCADO,7/4/2024 0:00,COLOMBIA,1
A07667,LAS TRES FRONTERAS SUPER MERCADO,7/10/2024 0:00,COLOMBIA,1
A07667,LAS TRES FRONTERAS SUPER MERCADO,7/12/2024 0:00,COLOMBIA,1
A07667,LAS TRES FRONTERAS SUPER MERCADO,7/13/2024 0:00,COLOMBIA,3
A07667,LAS TRES FRONTERAS SUPER MERCADO,7/17/2024 0:00,COLOMBIA,1
A07667,LAS TRES FRONTERAS SUPER MERCADO,7/19/2024 0:00,COLOMBIA,1
A07667,LAS TRES FRONTERAS SUPER MERCADO,7/24/2024 0:00,COLOMBIA,1
A07667,LAS TRES FRONTERAS SUPER MERCADO,7/25/2024 0:00,COLOMBIA,1
A07667,LAS TRES FRONTERAS SUPER MERCADO,7/28/2024 0:00,COLOMBIA,1
A07667,LAS TRES FRONTERAS SUPER MERCADO,7/31/2024 0:00,COLOMBIA,1
A07667,LAS TRES FRONTERAS SUPER MERCADO,8/1/2024 0:00,COLOMBIA,1
A07667,LAS TRES FRONTERAS SUPER MERCADO,8/2/2024 0:00,COLOMBIA,1
A07667,LAS TRES FRONTERAS SUPER MERCADO,8/4/2024 0:00,COLOMBIA,1
A07667,LAS TRES FRONTERAS SUPER MERCADO,8/7/2024 0:00,COLOMBIA,1
A07667,LAS TRES FRONTERAS SUPER MERCADO,8/10/2024 0:00,COLOMBIA,2
A07667,LAS TRES FRONTERAS SUPER MERCADO,8/14/2024 0:00,COLOMBIA,1
A07667,LAS TRES FRONTERAS SUPER MERCADO,8/15/2024 0:00,COLOMBIA,1
A07667,LAS TRES FRONTERAS SUPER MERCADO,8/20/2024 0:00,COLOMBIA,1
A07667,LAS TRES FRONTERAS SUPER MERCADO,8/22/2024 0:00,COLOMBIA,1
A07667,LAS TRES FRONTERAS SUPER MERCADO,8/23/2024 0:00,COLOMBIA,1
A07667,LAS TRES FRONTERAS SUPER MERCADO,8/24/2024 0:00,COLOMBIA,1
A07667,LAS TRES FRONTERAS SUPER MERCADO,8/29/2024 0:00,COLOMBIA,3
A07667,LAS TRES FRONTERAS SUPER MERCADO,8/30/2024 0:00,COLOMBIA,1
A07667,LAS TRES FRONTERAS SUPER MERCADO,8/31/2024 0:00,COLOMBIA,2
A07667,LAS TRES FRONTERAS SUPER MERCADO,9/3/2024 0:00,COLOMBIA,1
A07667,LAS TRES FRONTERAS SUPER MERCADO,9/6/2024 0:00,COLOMBIA,1
A07667,LAS TRES FRONTERAS SUPER MERCADO,9/7/2024 0:00,COLOMBIA,1
A07667,LAS TRES FRONTERAS SUPER MERCADO,9/12/2024 0:00,COLOMBIA,1
A07667,LAS TRES FRONTERAS SUPER MERCADO,9/13/2024 0:00,COLOMBIA,1
A07667,LAS TRES FRONTERAS SUPER MERCADO,9/14/2024 0:00,COLOMBIA,3
A07667,LAS TRES FRONTERAS SUPER MERCADO,9/20/2024 0:00,COLOMBIA,2
A07667,LAS TRES FRONTERAS SUPER MERCADO,9/25/2024 0:00,COLOMBIA,1
A07667,LAS TRES FRONTERAS SUPER MERCADO,9/26/2024 0:00,COLOMBIA,1
A07667,LAS TRES FRONTERAS SUPER MERCADO,9/28/2024 0:00,COLOMBIA,1
A07667,LAS TRES FRONTERAS SUPER MERCADO,9/29/2024 0:00,COLOMBIA,1
A07667,LAS TRES FRONTERAS SUPER MERCADO,10/1/2024 0:00,COLOMBIA,1
A07667,LAS TRES FRONTERAS SUPER MERCADO,10/5/2024 0:00,COLOMBIA,1
A07667,LAS TRES FRONTERAS SUPER MERCADO,10/9/2024 0:00,COLOMBIA,1
A07667,LAS TRES FRONTERAS SUPER MERCADO,10/10/2024 0:00,COLOMBIA,1
A07667,LAS TRES FRONTERAS SUPER MERCADO,10/11/2024 0:00,COLOMBIA,1
A07667,LAS TRES FRONTERAS SUPER MERCADO,10/12/2024 0:00,COLOMBIA,1
A07667,LAS TRES FRONTERAS SUPER MERCADO,10/17/2024 0:00,COLOMBIA,1
A07667,LAS TRES FRONTERAS SUPER MERCADO,10/18/2024 0:00,COLOMBIA,1
A07667,LAS TRES FRONTERAS SUPER MERCADO,10/20/2024 0:00,COLOMBIA,1
A07667,LAS TRES FRONTERAS SUPER MERCADO,10/25/2024 0:00,COLOMBIA,1
A07667,LAS TRES FRONTERAS SUPER MERCADO,10/26/2024 0:00,COLOMBIA,2
A07667,LAS TRES FRONTERAS SUPER MERCADO,10/28/2024 0:00,COLOMBIA,2
A07667,LAS TRES FRONTERAS SUPER MERCADO,11/1/2024 0:00,COLOMBIA,2
A07667,LAS TRES FRONTERAS SUPER MERCADO,11/2/2024 0:00,COLOMBIA,2
A07667,LAS TRES FRONTERAS SUPER MERCADO,11/3/2024 0:00,COLOMBIA,2
A07667,LAS TRES FRONTERAS SUPER MERCADO,11/7/2024 0:00,COLOMBIA,3
A07667,LAS TRES FRONTERAS SUPER MERCADO,11/8/2024 0:00,COLOMBIA,1
A07667,LAS TRES FRONTERAS SUPER MERCADO,11/9/2024 0:00,COLOMBIA,1
A07667,LAS TRES FRONTERAS SUPER MERCADO,11/15/2024 0:00,COLOMBIA,1
A07667,LAS TRES FRONTERAS SUPER MERCADO,11/16/2024 0:00,COLOMBIA,4
A07667,LAS TRES FRONTERAS SUPER MERCADO,11/22/2024 0:00,COLOMBIA,1
A07667,LAS TRES FRONTERAS SUPER MERCADO,11/23/2024 0:00,COLOMBIA,1
A07667,LAS TRES FRONTERAS SUPER MERCADO,11/27/2024 0:00,COLOMBIA,1
A07667,LAS TRES FRONTERAS SUPER MERCADO,11/29/2024 0:00,COLOMBIA,3
A07667,LAS TRES FRONTERAS SUPER MERCADO,11/30/2024 0:00,COLOMBIA,2
A07667,LAS TRES FRONTERAS SUPER MERCADO,12/2/2024 0:00,COLOMBIA,2
A07667,LAS TRES FRONTERAS SUPER MERCADO,12/6/2024 0:00,COLOMBIA,2
A07667,LAS TRES FRONTERAS SUPER MERCADO,12/7/2024 0:00,COLOMBIA,1
A07667,LAS TRES FRONTERAS SUPER MERCADO,12/9/2024 0:00,COLOMBIA,1
A07667,LAS TRES FRONTERAS SUPER MERCADO,12/13/2024 0:00,COLOMBIA,2
